event_id,event_completed_date,dg_id,fin_text,event_round,birdies,bogies,course_par,doubles_or_worse,driving_accuracy,driving_distance,eagles_or_better,gir,great_shots,pars,poor_shots,prox_fw,prox_rgh,score,scrambling,sg_app,sg_arg,sg_ott,sg_putt,sg_t2g,sg_total,start_hole,teetime
10,2025-03-02,17511,T11,2,6.0,2.0,71.0,0.0,0.643,286.3,0.0,0.889,4.0,10.0,1.0,24.753,24.309,67.0,0.333,2.697,-0.222,1.358,-1.353,3.833,2.479,1.0,12:29pm
10,2025-03-02,17511,T11,3,4.0,0.0,71.0,0.0,0.714,283.4,0.0,0.833,1.0,14.0,1.0,23.979,41.944,67.0,1.0,0.854,0.913,-0.05,0.181,1.717,1.897,1.0,12:10pm
10,2025-03-02,17511,T11,4,6.0,3.0,71.0,1.0,0.643,285.7,0.0,0.778,5.0,8.0,5.0,23.774,46.97,70.0,0.6,0.624,0.097,0.762,-0.968,1.483,0.515,1.0,1:10pm
10,2025-03-02,11451,T11,1,5.0,0.0,71.0,0.0,0.857,279.0,0.0,0.833,3.0,13.0,2.0,24.34,96.776,66.0,0.667,1.318,1.162,0.905,-0.761,3.385,2.625,10.0,7:18am
10,2025-03-02,11451,T11,2,7.0,3.0,71.0,0.0,0.643,276.1,0.0,0.556,4.0,8.0,1.0,29.029,141.381,67.0,0.778,-1.413,1.648,0.155,2.09,0.39,2.479,1.0,12:18pm
10,2025-03-02,11451,T11,3,3.0,1.0,71.0,0.0,0.714,276.0,0.0,0.722,1.0,14.0,2.0,42.665,54.765,69.0,0.75,-1.356,1.08,0.365,-0.191,0.089,-0.103,1.0,1:00pm
10,2025-03-02,11451,T11,4,5.0,1.0,71.0,1.0,0.357,282.0,0.0,0.667,4.0,11.0,2.0,36.106,49.985,69.0,0.571,-1.195,-0.087,0.213,2.584,-1.069,1.515,1.0,12:05pm
10,2025-03-02,24550,T11,1,5.0,2.0,71.0,0.0,0.5,280.6,0.0,0.778,3.0,11.0,3.0,17.196,53.94,68.0,0.333,2.742,-1.262,-0.766,-0.09,0.714,0.625,1.0,7:07am
10,2025-03-02,24550,T11,2,6.0,0.0,71.0,0.0,0.786,284.7,1.0,1.0,4.0,11.0,1.0,16.714,,63.0,0.5,5.936,-0.206,1.73,-0.98,7.46,6.479,10.0,12:07pm
10,2025-03-02,24550,T11,3,3.0,0.0,71.0,0.0,0.571,292.7,0.0,0.833,3.0,15.0,4.0,23.866,36.936,68.0,1.0,0.635,0.62,0.641,-0.998,1.896,0.897,1.0,1:35pm
10,2025-03-02,24550,T11,4,3.0,4.0,71.0,0.0,0.571,285.7,0.0,0.667,2.0,11.0,2.0,35.313,60.271,72.0,0.5,-0.959,0.426,1.227,-2.179,0.694,-1.485,1.0,1:30pm
10,2025-03-02,13900,T11,1,6.0,1.0,71.0,0.0,0.571,279.9,0.0,0.667,4.0,11.0,2.0,24.523,34.55,66.0,0.875,0.79,0.456,-0.595,1.973,0.651,2.625,1.0,12:40pm
10,2025-03-02,13900,T11,2,4.0,1.0,71.0,0.0,0.643,277.5,0.0,0.722,2.0,13.0,3.0,41.474,91.002,68.0,0.714,-0.293,3.436,0.338,-2.001,3.481,1.479,10.0,7:40am
10,2025-03-02,13900,T11,3,3.0,2.0,71.0,0.0,0.571,285.3,0.0,0.778,2.0,13.0,3.0,19.049,32.785,70.0,0.4,3.172,-1.779,-0.014,-2.481,1.379,-1.103,1.0,12:30pm
10,2025-03-02,13900,T11,4,6.0,2.0,71.0,0.0,0.429,284.2,0.0,0.667,4.0,10.0,3.0,26.485,41.737,67.0,0.667,2.535,-0.863,-0.092,1.935,1.58,3.515,1.0,10:15am
10,2025-03-02,14704,T11,1,5.0,1.0,71.0,1.0,0.786,271.9,0.0,0.833,5.0,11.0,4.0,27.342,16.274,70.0,0.333,-2.439,-0.656,0.97,0.749,-2.125,-1.375,10.0,8:02am
10,2025-03-02,14704,T11,2,4.0,0.0,71.0,0.0,0.714,268.3,0.0,0.833,5.0,14.0,3.0,28.031,76.11,67.0,0.8,0.44,1.433,-0.627,1.234,1.246,2.479,1.0,1:02pm
10,2025-03-02,14704,T11,3,6.0,1.0,71.0,0.0,0.714,269.2,0.0,0.778,2.0,11.0,1.0,33.867,17.489,66.0,0.667,1.159,0.65,-0.313,1.402,1.496,2.897,1.0,8:45am
10,2025-03-02,14704,T11,4,4.0,1.0,71.0,0.0,0.571,278.7,0.0,0.833,2.0,13.0,0.0,36.428,55.159,68.0,0.75,1.03,-0.027,0.567,0.945,1.57,2.515,1.0,11:50am
10,2025-03-02,18474,T18,1,4.0,3.0,71.0,0.0,0.643,287.1,0.0,0.556,3.0,11.0,4.0,30.525,25.122,70.0,0.857,-0.724,-0.199,-0.59,0.137,-1.513,-1.375,10.0,11:45am
10,2025-03-02,18474,T18,2,8.0,1.0,71.0,0.0,0.643,280.0,0.0,0.667,9.0,9.0,3.0,36.046,42.342,64.0,0.75,-0.43,2.096,0.146,3.668,1.812,5.479,1.0,6:45am
10,2025-03-02,18474,T18,3,2.0,2.0,71.0,0.0,0.786,287.3,1.0,0.611,1.0,13.0,3.0,30.614,30.1,69.0,0.875,-1.178,1.744,0.544,-1.212,1.11,-0.103,1.0,12:40pm
10,2025-03-02,18474,T18,4,3.0,1.0,71.0,0.0,0.786,293.2,0.0,0.833,2.0,14.0,2.0,29.312,46.044,69.0,0.4,0.111,0.529,1.602,-0.727,2.242,1.515,1.0,11:10am
10,2025-03-02,20730,T18,1,5.0,0.0,71.0,1.0,0.643,283.9,0.0,0.778,3.0,12.0,2.0,28.667,60.782,68.0,0.8,-0.089,0.937,0.93,-1.154,1.778,0.625,1.0,7:07am
10,2025-03-02,20730,T18,2,4.0,1.0,71.0,0.0,0.714,283.8,0.0,0.889,2.0,13.0,3.0,29.189,40.813,68.0,1.0,3.146,0.234,-0.405,-1.495,2.975,1.479,10.0,12:07pm
10,2025-03-02,20730,T18,3,4.0,1.0,71.0,0.0,0.786,287.2,1.0,0.833,3.0,12.0,1.0,26.174,19.676,66.0,0.75,2.869,-0.627,1.318,-0.662,3.56,2.897,1.0,10:00am
10,2025-03-02,20730,T18,4,6.0,3.0,71.0,1.0,0.571,286.2,0.0,0.611,3.0,8.0,1.0,39.855,44.536,70.0,0.444,-0.91,0.678,0.322,0.425,0.09,0.515,1.0,12:35pm
10,2025-03-02,16283,T18,1,7.0,3.0,71.0,0.0,0.429,288.9,0.0,0.556,6.0,8.0,6.0,26.686,33.226,67.0,0.714,0.756,-0.172,-3.191,4.231,-2.607,1.625,1.0,6:45am
10,2025-03-02,16283,T18,2,4.0,2.0,71.0,0.0,0.571,274.4,0.0,0.611,5.0,12.0,3.0,38.909,83.381,69.0,0.778,-1.917,-0.029,0.023,2.403,-1.923,0.479,10.0,11:45am
10,2025-03-02,16283,T18,3,6.0,1.0,71.0,0.0,0.571,289.4,0.0,0.778,5.0,11.0,2.0,36.154,26.371,66.0,1.0,1.094,0.121,-0.778,2.461,0.437,2.897,1.0,10:10am
10,2025-03-02,16283,T18,4,1.0,0.0,71.0,0.0,0.643,290.7,0.0,0.611,4.0,17.0,3.0,40.459,26.4,70.0,0.857,-1.401,1.703,0.085,0.128,0.387,0.515,1.0,12:35pm
10,2025-03-02,12965,T18,1,8.0,1.0,71.0,0.0,0.786,292.5,0.0,0.833,6.0,9.0,4.0,26.2,36.998,64.0,0.75,2.696,-0.203,1.683,0.448,4.176,4.625,10.0,7:40am
10,2025-03-02,12965,T18,2,6.0,1.0,71.0,1.0,0.571,286.2,0.0,0.778,5.0,10.0,3.0,30.797,20.626,68.0,0.667,-0.423,-0.27,0.874,1.299,0.181,1.479,1.0,12:40pm
10,2025-03-02,12965,T18,3,5.0,2.0,71.0,0.0,0.5,291.1,0.0,0.889,4.0,11.0,2.0,31.44,36.654,68.0,0.571,1.078,-0.303,0.606,-0.483,1.381,0.897,1.0,1:15pm
10,2025-03-02,12965,T18,4,3.0,4.0,71.0,0.0,0.429,287.8,0.0,0.667,1.0,11.0,1.0,33.715,51.17,72.0,0.5,-0.06,-1.322,-0.163,0.06,-1.545,-1.485,1.0,1:30pm
10,2025-03-02,32330,T18,1,5.0,1.0,71.0,0.0,0.5,295.2,0.0,0.722,2.0,12.0,2.0,30.891,46.883,67.0,0.667,0.53,0.485,0.341,0.268,1.356,1.625,10.0,7:07am
10,2025-03-02,32330,T18,2,7.0,2.0,71.0,0.0,0.571,294.8,0.0,0.611,6.0,9.0,3.0,33.307,38.26,66.0,0.875,-0.592,1.254,0.464,2.354,1.126,3.479,1.0,12:07pm
10,2025-03-02,32330,T18,3,5.0,2.0,71.0,1.0,0.643,303.8,0.0,0.833,5.0,10.0,4.0,26.076,25.588,70.0,0.2,0.653,-0.412,1.357,-2.7,1.598,-1.103,1.0,1:00pm
10,2025-03-02,32330,T18,4,4.0,4.0,71.0,0.0,0.357,294.5,1.0,0.667,5.0,9.0,4.0,38.458,60.892,69.0,0.636,0.745,-0.707,-0.851,2.328,-0.813,1.515,1.0,11:00am
10,2025-03-02,20722,T18,1,3.0,2.0,71.0,0.0,0.643,289.6,1.0,0.667,4.0,12.0,3.0,25.888,34.086,68.0,0.75,1.7,-1.498,0.461,-0.039,0.663,0.625,1.0,11:45am
10,2025-03-02,20722,T18,2,5.0,3.0,71.0,0.0,0.571,283.0,0.0,0.778,3.0,10.0,2.0,35.98,60.512,69.0,0.6,-0.862,-1.244,-0.176,2.762,-2.282,0.479,10.0,6:45am
10,2025-03-02,20722,T18,3,4.0,1.0,71.0,0.0,0.357,286.2,0.0,0.667,1.0,13.0,2.0,24.282,35.544,68.0,0.667,1.025,-0.136,-0.204,0.213,0.685,0.897,1.0,9:50am
10,2025-03-02,20722,T18,4,6.0,2.0,71.0,0.0,0.571,288.9,0.0,0.722,4.0,10.0,1.0,30.84,50.753,67.0,0.714,0.507,-0.831,0.551,3.288,0.227,3.515,1.0,10:05am
10,2025-03-02,23602,T18,1,3.0,0.0,71.0,1.0,0.571,280.4,1.0,0.833,5.0,13.0,1.0,29.021,43.781,68.0,1.0,-1.14,-0.921,0.555,2.13,-1.506,0.625,1.0,1:02pm
10,2025-03-02,23602,T18,2,4.0,1.0,71.0,0.0,0.643,275.1,0.0,0.667,2.0,13.0,2.0,37.63,31.383,68.0,0.857,0.182,0.977,-0.973,1.294,0.186,1.479,10.0,8:02am
10,2025-03-02,23602,T18,3,5.0,1.0,71.0,0.0,0.571,292.3,0.0,0.722,4.0,12.0,1.0,20.614,48.663,67.0,0.8,1.952,-0.583,-0.346,0.875,1.023,1.897,1.0,10:20am
10,2025-03-02,23602,T18,4,4.0,2.0,71.0,0.0,0.643,283.6,0.0,0.944,4.0,12.0,2.0,32.549,31.589,69.0,0.8,2.243,-0.207,0.235,-0.756,2.271,1.515,1.0,11:40am
10,2025-03-02,17606,T25,1,8.0,0.0,71.0,0.0,0.571,287.2,0.0,0.778,6.0,10.0,1.0,20.2,44.066,63.0,1.0,2.2,1.04,-1.087,3.471,2.153,5.625,10.0,7:07am
