calendar_year,event_id,tour
2024,10283,atgt
2024,10286,ngl
2024,7,pga
2024,10285,anz
2024,10280,pgti
2024,3,pga
2024,10279,anz
2024,2024147,euro
2024,2024301,cha
2024,104,kft
2024,25,liv
2024,2024109,euro
2024,84,kft
2024,10274,anz
2024,5,pga
2024,2024300,cha
2024,24,liv
2024,10273,pgt
2024,10267,anz
2024,2024108,euro
2024,10266,atgt
2024,10268,afr
2024,4,pga
2024,10262,pgt
2024,125,kft
2024,2,pga
2024,10257,mex
2024,2024107,euro
2024,10261,anz
2024,524,champ
2024,10256,bet
2024,124,kft
2024,2024106,euro
2024,6,pga
2024,10254,anz
2024,10255,bet
2024,16,pga
2023,2024105,euro
2023,10250,asa
2023,88,pga
2023,10246,pgti
2023,10248,bet
2023,10242,pgti
2023,10243,atgt
2023,10245,mex
2023,2024104,euro
2023,10241,chn
2023,23,liv
2023,550,pga
2023,10236,asa
2023,2024103,euro
2023,2024102,euro
2023,10235,jpn
2023,10237,adt
2023,10238,pgti
2023,10228,jpn
2023,2024101,euro
2023,10229,chn
2023,10231,atgt
2023,2024100,euro
2023,10230,pgti
2023,10224,asa
2023,2023146,euro
2023,10223,jpn
2023,549,pga
2023,10226,anz
2023,10225,adt
2023,10227,bet
2023,2023713,euro
2023,2023145,euro
2023,10214,jpn
2023,10215,asa
2023,10217,kor
2023,539,champ
2023,10218,anz
2023,548,pga
2023,10220,mex
2023,10216,adt
2023,10219,bet
2023,10205,kor
2023,10207,afr
2023,9,champ
2023,547,pga
2023,2023324,cha
2023,10203,jpn
2023,10208,anz
2023,10204,asa
2023,10206,pgti
2023,10200,kor
2023,2023150,euro
2023,10197,chn
2023,10198,pgti
2023,10199,afr
2023,10192,chn
2023,10193,anz
2023,546,pga
2023,22,liv
2023,2023149,euro
2023,10194,afr
2023,623,champ
2023,10195,mex
2023,10188,alp
2023,10191,atvt
2023,10189,ngl
2023,2023337,cha
2023,2023143,euro
2023,21,liv
2023,609,champ
2023,545,pga
2023,10183,anz
2023,10178,jpn
2023,10180,asa
2023,10182,kor
2023,10181,adt
2023,10179,ngl
2023,544,pga
2023,2023142,euro
2023,2023323,cha
2023,44,champ
2023,45,kft
2023,10174,anz
2023,10173,kor
2023,10175,afr
2023,10169,asa
2023,10167,jpn
2023,10172,atgt
2023,10171,pgti
2023,10168,atvt
2023,10164,pgt
2023,10170,adt
2023,10156,jpn
2023,10157,asa
2023,10161,pgti
2023,10159,atvt
2023,10160,adt
2023,10158,ngl
2023,2023140,euro
2023,2023322,cha
2023,20,liv
2023,616,champ
2023,94,kft
2023,10151,kor
2023,10153,afr
2023,10155,mex
2023,10149,jpn
2023,10150,asa
2023,10154,pgti
2023,10152,ngl
2023,120,kft
2023,543,pga
2023,23,champ
2023,2023139,euro
2023,2023321,cha
2023,10142,kor
2023,10143,afr
2023,10141,jpn
2023,10144,alp
2023,10145,ngl
2023,2023304,cha
2023,10,can
2023,625,champ
2023,2023138,euro
2023,10136,atgt
2023,10134,chn
2023,10135,asa
2023,10130,ngl
2023,10133,atvt
2023,10122,kor
2023,2023137,euro
2023,2023320,cha
2023,53,can
2023,10121,jpn
2023,10125,adt
2023,10123,pgt
2023,10124,atvt
2023,10127,afr
2023,10126,ngl
2023,10112,asa
2023,6,can
2023,10115,kor
2023,2023319,cha
2023,10110,jpn
2023,22,champ
2023,27,kft
2023,60,pga
2023,10105,ngl
2023,2023136,euro
2023,10113,adt
2023,10106,pgt
2023,10114,pgti
2023,10117,bet
2023,17,champ
2023,10097,asa
2023,168,kft
2023,2023318,cha
2023,2023135,euro
2023,10100,anz
2023,28,pga
2023,10099,pgti
2023,10094,pgt
2023,10093,ngl
2023,10102,mex
2023,10101,afr
2023,10098,adt
2023,123,kft
2023,10090,afr
2023,10089,atgt
2023,619,champ
2023,2023317,cha
2023,27,pga
2023,19,liv
2023,26,kft
2023,10083,asa
2023,10082,jpn
2023,13,pga
2023,2023316,cha
2023,46,can
2023,18,liv
2023,10078,ngl
2023,10084,bet
2023,2023315,cha
2023,48,can
2023,614,champ
2023,10075,jpn
2023,131,kft
2023,525,pga
2023,10070,alp
2023,10076,afr
2023,10071,ngl
2023,10072,pgt
2023,22,kft
2023,472,pga
2023,100,pga
2023,70,can
2023,2023314,cha
2023,10065,chn
2023,10067,afr
2023,10062,pgt
2023,518,pga
2023,44,can
2023,130,kft
2023,10058,mex
2023,2023313,cha
2023,507,champ
2023,10056,adt
2023,541,pga
2023,10051,alp
2023,10055,atvt
2023,10057,bet
2023,2023312,cha
2023,30,pga
